"gross","movies.Studio","movies.Year","movies.Title"
886.31237,"Walt Disney Studios Motion Pictures",2012,"The Muppets"
259.78556,"Warner Bros.",2012,"Born to Be Wild"
146.00347,"The Weinstein Company",2012,"My Week with Marilyn"
60.02756,"Twentieth Century Fox",2012,"Chasing Mavericks"
59.09483,"Lionsgate",2012,"Casa de mi Padre"
53.10554,"Twentieth Century Fox",2012,"Won't Back Down"
525.22904,"Warner Bros.",2012,"Hubble 3D"
163.11571,"Paramount Pictures",2012,"Young Adult"
49.36819,"Warner Bros.",2012,"The Apparition"
304.41326,"Twentieth Century Fox",2012,"The Sitter"
38.63446,"The Weinstein Company",2012,"Bully"
37.63583,"Lionsgate",2012,"The Cold Light of Day"
640.06466,"Warner Bros.",2012,"Happy Feet Two"
31.25613,"Paramount Pictures",2012,"Indiana Jones and the Raiders of the Lost Ark"
16.08925,"Warner Bros.",2012,"Singin' in the Rain"
26.09412,"Lionsgate",2012,"Girl in Progress"
741.58157,"Sony Pictures Entertainment (SPE)",2012,"Jack and Jill"
4090.13994,"Walt Disney Studios Motion Pictures",2013,"Iron Man 3"
4246.68047,"Lionsgate",2013,"The Hunger Games: Catching Fire"
3680.65385,"Universal Pictures",2013,"Despicable Me 2"
2910.45518,"Warner Bros.",2013,"Man of Steel"
2684.92764,"Walt Disney Studios Motion Pictures",2013,"Monsters University"
4007.38009,"Walt Disney Studios Motion Pictures",2013,"Frozen"
2740.92705,"Warner Bros.",2013,"Gravity"
2386.7985,"Universal Pictures",2013,"Fast & Furious 6"
2349.11825,"Walt Disney Studios Motion Pictures",2013,"Oz the Great and Powerful"
2287.78661,"Paramount Pictures",2013,"Star Trek Into Darkness"
2063.6214,"Walt Disney Studios Motion Pictures",2013,"Thor: The Dark World"
2023.59711,"Paramount Pictures",2013,"World War Z"
2583.66855,"Warner Bros.",2013,"The Hobbit: The Desolation of Smaug"
1871.68425,"Twentieth Century Fox",2013,"The Croods"
1595.82188,"Twentieth Century Fox",2013,"The Heat"
1503.94119,"Warner Bros.",2013,"We're the Millers"
1448.40419,"Warner Bros.",2013,"The Great Gatsby"
1374.00141,"Warner Bros.",2013,"The Conjuring"
1345.0692,"Universal Pictures",2013,"Identity Thief"
1336.68525,"Sony Pictures Entertainment (SPE)",2013,"Grown Ups 2"
1325.56852,"Twentieth Century Fox",2013,"The Wolverine"
1225.2306,"Paramount Pictures",2013,"G.I. Joe: Retaliation"
1177.23989,"Lionsgate",2013,"Now You See Me"
1197.93567,"Sony Pictures Entertainment (SPE)",2013,"Cloudy with a Chance of Meatballs 2"
1166.32095,"The Weinstein Company",2013,"Lee Daniels' The Butler"
1122.00072,"Warner Bros.",2013,"The Hangover Part III"
1075.18682,"Twentieth Century Fox",2013,"Epic"
1071.00855,"Sony Pictures Entertainment (SPE)",2013,"Captain Phillips"
1320.92958,"The Weinstein Company",2013,"Silver Linings Playbook"
1018.02906,"Warner Bros.",2013,"Pacific Rim"
1014.70202,"Sony Pictures Entertainment (SPE)",2013,"This Is the End"
1020.03019,"Paramount Pictures",2013,"Bad Grandpa"
950.20213,"Warner Bros.",2013,"42"
957.20716,"Sony Pictures Entertainment (SPE)",2013,"Zero Dark Thirty"
1628.05434,"The Weinstein Company",2013,"Django Unchained"
1251.68368,"Paramount Pictures",2013,"Anchorman 2: The Legend Continues"
902.88712,"Walt Disney Studios Motion Pictures",2013,"Planes"
893.02115,"Walt Disney Studios Motion Pictures",2013,"The Lone Ranger"
891.07235,"Universal Pictures",2013,"Oblivion"
830.28128,"Twentieth Century Fox",2013,"Turbo"
1488.0977,"Universal Pictures",2013,"Les Misérables"
756.1246,"Universal Pictures",2013,"2 Guns"
3030.03568,"Warner Bros.",2013,"The Hobbit: An Unexpected Journey"
731.03784,"Sony Pictures Entertainment (SPE)",2013,"White House Down"
716.2818,"Universal Pictures",2013,"Mama"
710.17784,"Sony Pictures Entertainment (SPE)",2013,"The Smurfs 2"
705.25195,"Universal Pictures",2013,"The Best Man Holiday"
685.59554,"Twentieth Century Fox",2013,"Percy Jackson: Sea of Monsters"
1501.17807,"Sony Pictures Entertainment (SPE)",2013,"American Hustle"
673.49198,"Twentieth Century Fox",2013,"A Good Day to Die Hard"
663.80662,"Lionsgate",2013,"Warm Bodies"
651.87603,"Warner Bros.",2013,"Jack the Giant Slayer"
644.73115,"Universal Pictures",2013,"The Purge"
617.37191,"Lionsgate",2013,"Ender's Game"
610.02302,"Warner Bros.",2013,"Prisoners"
605.22097,"Sony Pictures Entertainment (SPE)",2013,"After Earth"
570.12977,"The Weinstein Company",2013,"Escape from Planet Earth"
557.03475,"Paramount Pictures",2013,"Hansel & Gretel: Witch Hunters"
532.6256,"Lionsgate",2013,"RED 2"
519.75354,"Lionsgate",2013,"Temptation: Confessions of a Marriage Counselor"
498.75291,"Paramount Pictures",2013,"Pain & Gain"
1822.07973,"Walt Disney Studios Motion Pictures",2013,"Lincoln"
460.00903,"Warner Bros.",2013,"Gangster Squad"
453.85935,"Universal Pictures",2013,"Jurassic Park"
525.43354,"Lionsgate",2013,"A Madea Christmas"
446.72764,"Twentieth Century Fox",2013,"The Internship"
444.67206,"Lionsgate",2013,"Instructions Not Included"
833.0158,"Walt Disney Studios Motion Pictures",2013,"Saving Mr. Banks"
772.67296,"Twentieth Century Fox",2013,"Parental Guidance"
429.30462,"Lionsgate",2013,"Snitch"
420.25135,"Universal Pictures",2013,"Riddick"
1169.00694,"Paramount Pictures",2013,"The Wolf of Wall Street"
1249.87023,"Twentieth Century Fox",2013,"Life of Pi"
343.41945,"Lionsgate",2013,"Texas Chainsaw"
336.18855,"Universal Pictures",2013,"R.I.P.D."
800.70736,"Paramount Pictures",2013,"Jack Reacher"
322.44051,"Lionsgate",2013,"Kevin Hart: Let Me Explain"
582.36838,"Twentieth Century Fox",2013,"The Secret Life of Walter Mitty"
306.64106,"Walt Disney Studios Motion Pictures",2013,"Delivery Man"
287.95985,"Universal Pictures",2013,"Kick-Ass 2"
675.44505,"Universal Pictures",2013,"This Is 40"
1360.25503,"Warner Bros.",2013,"Argo"
269.47624,"Universal Pictures",2013,"Rush"
251.35965,"Lionsgate",2013,"Escape Plan"
360.76121,"Twentieth Century Fox",2013,"Walking with Dinosaurs 3D"
383.62475,"Universal Pictures",2013,"47 Ronin"
225.37881,"Warner Bros.",2013,"The Incredible Burt Wonderstone"
218.19348,"Lionsgate",2013,"The Big Wedding"
197.01164,"Twentieth Century Fox",2013,"Broken City"
194.52138,"Warner Bros.",2013,"Beautiful Creatures"
193.16646,"Twentieth Century Fox",2013,"Runner Runner"
184.94006,"Lionsgate",2013,"You're Next"
190.19882,"Lionsgate",2013,"The Impossible"
183.90117,"The Weinstein Company",2013,"Quartet"
214.88481,"Twentieth Century Fox",2013,"The Book Thief"
377.09979,"The Weinstein Company",2013,"Philomena"
169.73715,"Twentieth Century Fox",2013,"The Counselor"
298.0726,"Warner Bros.",2013,"Grudge Match"
161.01339,"The Weinstein Company",2013,"Fruitvale Station"
153.22921,"Universal Pictures",2013,"About Time"
371.34215,"Paramount Pictures",2013,"The Guilt Trip"
340.43006,"Walt Disney Studios Motion Pictures",2013,"Monsters, Inc."
3043.60277,"Sony Pictures Entertainment (SPE)",2013,"Skyfall"
1894.22889,"Walt Disney Studios Motion Pictures",2013,"Wreck-It Ralph"
120.50299,"Lionsgate",2013,"The Last Stand"
105.01938,"Warner Bros.",2013,"Getaway"
94.89829,"Warner Bros.",2013,"Bullet to the Head"
91.77065,"Lionsgate",2013,"Peeples"
65.94959,"The Weinstein Company",2013,"The Grandmaster"
525.22904,"Warner Bros.",2013,"Hubble 3D"
176.54912,"Paramount Pictures",2013,"Nebraska"
2923.24737,"Lionsgate",2013,"The Twilight Saga: Breaking Dawn - Part 2"
58.42961,"Lionsgate",2013,"Pulling Strings"
56.33202,"Warner Bros.",2013,"The Wizard of Oz"
83.23085,"The Weinstein Company",2013,"Mandela: Long Walk to Freedom"
125.12862,"Paramount Pictures",2013,"Cirque du Soleil: Worlds Away"
33.10031,"Lionsgate",2013,"Stand Up Guys"
32.55008,"Walt Disney Studios Motion Pictures",2013,"The Fifth Estate"
30.18873,"Paramount Pictures",2013,"Top Gun"
145.60838,"Warner Bros.",2013,"To the Arctic 3D"
28.50357,"Lionsgate",2013,"Filly Brown"
1483.13048,"Sony Pictures Entertainment (SPE)",2013,"Hotel Transylvania"
24.50867,"The Weinstein Company",2013,"The Sapphires"
3331.766,"Walt Disney Studios Motion Pictures",2014,"Guardians of the Galaxy"
3371.35885,"Lionsgate",2014,"The Hunger Games: Mockingjay - Part 1"
2597.66572,"Walt Disney Studios Motion Pictures",2014,"Captain America: The Winter Soldier"
2577.60692,"Warner Bros.",2014,"The Lego Movie"
2454.39076,"Paramount Pictures",2014,"Transformers: Age of Extinction"
2414.10378,"Walt Disney Studios Motion Pictures",2014,"Maleficent"
2339.21534,"Twentieth Century Fox",2014,"X-Men: Days of Future Past"
2085.45589,"Twentieth Century Fox",2014,"Dawn of the Planet of the Apes"
2225.27828,"Walt Disney Studios Motion Pictures",2014,"Big Hero 6"
2028.53933,"Sony Pictures Entertainment (SPE)",2014,"The Amazing Spider-Man 2"
2006.76069,"Warner Bros.",2014,"Godzilla"
1917.19337,"Sony Pictures Entertainment (SPE)",2014,"22 Jump Street"
1912.04754,"Paramount Pictures",2014,"Teenage Mutant Ninja Turtles"
2551.19788,"Warner Bros.",2014,"The Hobbit: The Battle of the Five Armies"
1880.20017,"Paramount Pictures",2014,"Interstellar"
1770.02924,"Twentieth Century Fox",2014,"How to Train Your Dragon 2"
1677.67189,"Twentieth Century Fox",2014,"Gone Girl"
1509.47895,"Lionsgate",2014,"Divergent"
1501.574,"Universal Pictures",2014,"Neighbors"
4007.38009,"Walt Disney Studios Motion Pictures",2014,"Frozen"
1349.382,"Universal Pictures",2014,"Ride Along"
1315.38435,"Twentieth Century Fox",2014,"Rio 2"
1266.636,"Universal Pictures",2014,"Lucy"
1250.95601,"Universal Pictures",2014,"Lone Survivor"
1248.7235,"Twentieth Century Fox",2014,"The Fault in Our Stars"
1115.0643,"Twentieth Century Fox",2014,"Mr. Peabody & Sherman"
1065.80051,"Warner Bros.",2014,"300: Rise of an Empire"
1024.27862,"Twentieth Century Fox",2014,"The Maze Runner"
1012.00044,"Paramount Pictures",2014,"Noah"
1015.30738,"Sony Pictures Entertainment (SPE)",2014,"The Equalizer"
1002.06256,"Warner Bros.",2014,"Edge of Tomorrow"
921.686,"Universal Pictures",2014,"Non-Stop"
858.17906,"Sony Pictures Entertainment (SPE)",2014,"Fury"
862.0801,"Universal Pictures",2014,"Dumb and Dumber To"
845.25432,"Warner Bros.",2014,"Tammy"
842.73813,"Warner Bros.",2014,"Annabelle"
839.11193,"Twentieth Century Fox",2014,"The Other Woman"
1501.17807,"Sony Pictures Entertainment (SPE)",2014,"American Hustle"
823.90774,"Twentieth Century Fox",2014,"Let's Be Cops"
780.3162,"Sony Pictures Entertainment (SPE)",2014,"The Monuments Men"
1169.00694,"Paramount Pictures",2014,"The Wolf of Wall Street"
838.50911,"Twentieth Century Fox",2014,"Penguins of Madagascar"
726.88614,"Paramount Pictures",2014,"Hercules"
719.628,"Universal Pictures",2014,"The Purge: Anarchy"
1137.46621,"Twentieth Century Fox",2014,"Night at the Museum: Secret of the Tomb"
669.54149,"Walt Disney Studios Motion Pictures",2014,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
1280.02372,"Walt Disney Studios Motion Pictures",2014,"Into the Woods"
1156.37895,"Universal Pictures",2014,"Unbroken"
597.00064,"Twentieth Century Fox",2014,"Son of God"
591.65787,"Walt Disney Studios Motion Pictures",2014,"Planes: Fire & Rescue"
586.07007,"Sony Pictures Entertainment (SPE)",2014,"RoboCop"
859.11262,"Sony Pictures Entertainment (SPE)",2014,"Annie"
2583.66855,"Warner Bros.",2014,"The Hobbit: The Desolation of Smaug"
562.80355,"Universal Pictures",2014,"Dracula Untold"
650.14513,"Twentieth Century Fox",2014,"Exodus: Gods and Kings"
542.40821,"Walt Disney Studios Motion Pictures",2014,"The Hundred-Foot Journey"
544.45357,"Warner Bros.",2014,"Horrible Bosses 2"
511.83113,"Walt Disney Studios Motion Pictures",2014,"Muppets Most Wanted"
508.5601,"Universal Pictures",2014,"Ouija"
505.77412,"Paramount Pictures",2014,"Jack Ryan: Shadow Recruit"
504.74843,"Warner Bros.",2014,"If I Stay"
501.51543,"Twentieth Century Fox",2014,"The Book of Life"
476.02194,"Warner Bros.",2014,"Into the Storm"
470.47013,"Warner Bros.",2014,"Jersey Boys"
471.19388,"Warner Bros.",2014,"The Judge"
462.9461,"Warner Bros.",2014,"Blended"
450.90374,"The Weinstein Company",2014,"The Giver"
435.77636,"Walt Disney Studios Motion Pictures",2014,"Need for Speed"
431.393,"Universal Pictures",2014,"A Million Ways to Die in the West"
441.37712,"The Weinstein Company",2014,"St. Vincent"
430.37835,"Lionsgate",2014,"John Wick"
420.24533,"Warner Bros.",2014,"Dolphin Tale 2"
393.22544,"Lionsgate",2014,"The Expendables 3"
